JULDAY,TIME,D0cm,D2.5cm,D5cm,D10cm,D15cm,D20cm,D30cm,D50cm,D100cm,D200cm,Tair,Tair_mammals
74,1140,12.78448582,13.03821278,13.22821045,13.42467403,13.41388607,13.24718571,12.61014843,11.24840832,11.14103699,15.49166775,5.56451416,8.655752182
74,1200,12.11712074,12.37201786,12.57940578,12.85438538,12.96086693,12.92743778,12.54439354,11.37985611,11.18810844,15.49166775,4.955078125,8.020820618
74,1260,11.95916462,11.57941055,12.14145374,12.3796711,12.56172943,12.61410904,12.4212389,11.4846096,11.23609734,15.49166775,4.475280762,7.6780653
74,1320,11.17973804,11.42985916,11.64806843,11.98931885,12.21012402,12.32267284,12.27255535,11.56251335,11.28444195,15.49166775,4.097595215,7.12776804
74,1380,10.82489014,11.07139301,11.29063702,11.64747906,11.89955425,12.0554924,12.11580276,11.61581802,11.33262062,15.49166775,3.800231934,6.805132866
105,0,14.45441914,14.69500256,14.90632153,15.24094772,15.46154976,15.57619095,15.5235405,14.68147373,13.27034378,15.49166775,6.912628174,10.13801384
105,60,13.89966679,14.55793476,14.52912521,14.92031956,15.15585232,15.30228806,15.33886814,14.70099354,13.32118702,15.49166775,6.742858887,9.801844597
105,120,13.88066483,14.10073662,14.30030632,14.63636684,14.88716316,15.05538082,15.16228294,14.70148087,13.37067223,15.49166775,6.613555908,9.717908859
105,180,13.65743923,13.86821461,14.06129932,14.39284897,14.64987564,14.83386517,14.99579048,14.68651581,13.41850471,15.49166775,6.515045166,9.564380646
105,240,13.07744122,13.96407795,13.77538013,14.18572617,14.43901253,14.63486862,14.84003067,14.6592865,13.46445942,15.49166775,6.440002441,9.271633148
105,300,13.30296421,13.4950676,13.67425728,13.99201488,14.25261307,14.45565033,14.6948185,14.62253666,13.50837421,15.49166775,6.382843018,9.334479332
105,360,13.39210033,13.50072002,13.61949635,13.86958885,14.10241795,14.29926491,14.56017017,14.57857609,13.55015373,15.49166775,6.497375488,9.440059662
105,420,13.73125744,14.38217068,13.87464237,13.97961426,14.0746994,14.20751095,14.44414711,14.52966499,13.5897646,15.49166775,7.93548584,10.41072083
105,480,15.59401798,15.16030407,14.83739662,14.46066284,14.3057642,14.27399731,14.37746239,14.47963333,13.62723064,15.49166775,10.33959961,12.58507633
105,540,17.33836937,16.64439774,16.08178139,15.29292107,14.81950569,14.55463219,14.40420151,14.43585396,13.66267586,15.49166775,13.31378174,15.03479576
105,600,19.46629333,18.04010201,17.57173538,16.34702873,15.56126976,15.03883171,14.55262947,14.40855598,13.69639397,15.49166775,16.36804199,17.69378853
105,660,20.61323929,19.69223213,18.86016655,17.47482109,16.43239975,15.67540455,14.82543659,14.40815353,13.7288599,15.49166775,18.99926758,19.69033432
105,720,21.78195953,20.81852531,19.94288826,18.45502663,17.27492523,16.36073875,15.19650078,14.44244957,13.76072311,15.49166775,20.77404785,21.20617294
105,780,22.78818893,21.82258606,20.93060112,19.36530304,18.07758713,17.04122162,15.62314224,14.51429367,13.79273224,15.49166775,21.39996338,21.99514198
105,840,23.37053299,22.4834671,21.65781975,20.12494659,18.80298805,17.69373322,16.07689285,14.62249374,13.8256321,15.49166775,20.77404785,21.88699532
105,900,23.28430939,22.72146606,21.96280289,20.61942482,19.36538315,18.25860405,16.52772522,14.76315212,13.86007977,15.49166775,18.99926758,20.8355732
105,960,22.62847328,22.37681007,21.79760933,20.76120186,19.68475723,18.66791534,16.93684006,14.92933178,13.89659214,15.49166775,16.36804199,19.05027008
105,1020,21.52066422,21.39234352,21.17068863,20.51313019,19.71172142,18.8684063,17.26298523,15.11089516,13.93549919,15.49166775,13.31378174,16.82915688
105,1080,19.9332695,20.08785248,20.12380409,19.90296173,19.43442726,18.83061218,17.47063446,15.29522419,13.97688484,15.49166775,10.33959961,14.44806576
105,1140,18.98272705,18.52024651,19.09039497,19.09064484,18.92712402,18.57348061,17.53923798,15.46866226,14.02057648,15.49166775,8.977416992,13.26119995
105,1200,17.63773537,17.90995789,18.11884689,18.35105896,18.36345863,18.19826508,17.48062134,15.61908722,14.06616783,15.49166775,8.315826416,12.30610847
105,1260,16.95443726,17.22455406,17.44495964,17.73846436,17.85015869,17.80488205,17.33759499,15.73910999,14.11306953,15.49166775,7.811859131,11.72449493
105,1320,16.79272079,16.37482071,16.97517967,17.21855545,17.39875793,17.43307877,17.15287781,15.82693291,14.16060925,15.49166775,7.42791748,11.43475246
105,1380,15.94780064,16.2091713,16.43567467,16.78421593,16.99876213,17.09047699,16.95283127,15.88447475,14.20814514,15.49166775,7.135437012,10.905056
135,0,20.44116974,20.67845726,20.88240814,21.1900959,21.36770439,21.42420769,21.21410179,19.93785858,17.2216053,15.49166775,12.06268311,15.64589787
135,60,19.85043335,20.48942566,20.45933342,20.82131195,21.01584625,21.1077404,20.99742126,19.94659805,17.25915146,15.49166775,11.89709473,15.29639339
135,120,19.78840637,20.00068474,20.18981171,20.49666786,20.70656967,20.82211304,20.7894249,19.9339447,17.29549789,15.49166775,11.77288818,15.19665909
135,180,19.53524017,19.73631287,19.91740799,20.21779823,20.43344307,20.565588,20.59280205,19.90394783,17.33029366,15.49166775,11.67971802,15.03308868
135,240,19.62622261,19.26944923,19.74299049,19.96803093,20.19155502,20.33477783,20.40844345,19.86023331,17.36327553,15.49166775,11.60983276,15.0297451
135,300,19.19417572,19.35293961,19.50283241,19.76938629,19.97960663,20.12787247,20.23628807,19.80592918,17.3942585,15.49166775,11.55740356,14.81532955
135,360,19.52169037,19.52667046,19.56171799,19.69192314,19.83716774,19.95977211,20.07865334,19.74376297,17.42312241,15.49166775,11.96090698,15.18840408
135,420,20.87931824,19.96432686,20.15018272,19.90343475,19.87620544,19.89577866,19.95225334,19.67687988,17.44982338,15.49166775,13.59796143,16.70809555
135,480,21.98467827,21.45619774,21.04066658,20.48934746,20.17964363,20.01263237,19.89349937,19.61078835,17.47439766,15.49166775,16.06103516,18.59280396
